id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID00193	CID:5280536	CAS:458-36-6	Coniferyl aldehyde	Compound	39395598	In vivo		Artemia salina		Bath	Chilodonella uncinata	mg/L	10.0	10.0	-	57.0	Antiparasitic
RID00200	CID:5281255	CAS:20784-50-3	Isobavachalcone	Compound	38518713	In vivo		Poecilia reticulata	Larva	Water treatment	Tetrahymena piriformis	mg/L	0.625-10.0	0.625-10.0	-	10.1-92.5	Antiparasitic
RID00204	CID:5281607	CAS:480-40-0	Chrysin	Compound	39395598	In vivo		Artemia salina		Bath	Chilodonella uncinata	mg/L	10.0	10.0	-	78.0	Antiparasitic
RID00209	CID:5281667	CAS:75629-19-5	Kuwanon-G	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	62.5-1000.0	62.5-1000.0	-	60.0-100.0	Antiparasitic
RID00211	CID:5281806	CAS:18642-23-4	Psoralidin	Compound	26042195	In vitro	Protozoa				Ichthyophthirius multifiliis	mg/L	0.4-1.6	0.4-1.6	-	61.7-100.0	Antiprotozoal
RID00023	CID:11294	CAS:569-64-2	Malachite green	Compound	26042195	In vitro	Protozoa				Ichthyophthirius multifiliis	mg/L	0.025-0.05	0.025-0.05	-	65.7-100.0	Antiprotozoal
RID00281	CID:6654	CAS:80-56-8	α-Pinene	Compound	29080753	In vitro	Gills				Dactylogyrus minutus	g/L	32.0-180.0	32.0-180.0	8.8-64.8	82.5-100.0	Anthelmintic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	D2				Philasterides dicentrarchi	ppm	10.0-80.0	10.0-80.0	-	21.3-100.0	Antiparasitic
RID10009		CAS:8014-19-5	Palmarosa oil	Mixture	35804584	In vivo		Carassius auratus		Bath	Gyrodactylus kobayashii	mg/L	10.0	10.0	1440.0	100.0	Antiparasitic
RID00009	CID:10215	CAS:482-89-3	Indigo	Compound	39395598	In vivo		Artemia salina		Bath	Chilodonella uncinata	mg/L	10.0	10.0	-	47.0	Antiparasitic
RID10010		CAS:8014-29-7	Rue oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	25.0	25.0	-	100.0	Antiparasitic
RID10147			Hedyotis diffusa aerial part extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	450.0	450.0	-	76.0	Antiparasitic
RID10155			Leonurus japonicus fruit extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	31.5	31.5	-	72.0	Antiparasitic
RID10159			Liquidambar formosana fruit extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	45.0	45.0	-	92.0	Antiparasitic
RID10164			Lysimachia christinae leaf extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	150.0	150.0	-	100.0	Antiparasitic
RID10172			Melaleuca alternifolia essential oil	Mixture	37745226	In vitro	Parasites were collected from the gills of heavily infected carp				Dactylogyrus sp.	µL/mL	0.5-10.0	0.5-10.0	1.0-3.0	100.0	Anthelmintic
RID10172			Melaleuca alternifolia essential oil	Mixture	37745226	In vivo		Cyprinus carpio		Bath	Dactylogyrus sp.	µL/mL	0.3	0.3	-	35.31	Anthelmintic
RID10184			Mentha piperita essential oil	Mixture	37745226	In vitro	Parasites were collected from the gills of heavily infected carp				Dactylogyrus sp.	µL/mL	1.0-10.0	1.0-10.0	2.0-15.0	100.0	Anthelmintic
RID10184			Mentha piperita essential oil	Mixture	37745226	In vivo		Cyprinus carpio		Bath	Dactylogyrus sp.	µL/mL	2.53	2.53	-	28.23	Anthelmintic
