id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Escherichia vulgaris	µL/mL	25.0	25.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas fluorescens	µL/mL	25.0	25.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas frederiksbergensis	µL/mL	25.0	25.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas gessardii	µL/mL	25.0	25.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas lundensis	µL/mL	25.0	25.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas proteolitica	µL/mL	12.5	12.5	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Enterococcus moravensis	µL/mL	6.25	6.25	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Shewanella baltica	µL/mL	12.5	12.5	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Yersinia enterocolitica	µL/mL	12.5	12.5	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Yersinia ruckeri	µL/mL	12.5	12.5	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Yersinia spp.	µL/mL	12.5	12.5	-	-	Antibacterial
RID00045	CID:14236566	CAS:19879-32-4	Bavachin D	Compound	38518713	In vitro	AF364041.1				Tetrahymena piriformis	mg/L	0.78125-25.0	6.25-25.0	-	-	Antiparasitic
RID10090			Citrus medica fruit extract	Mixture	28232195	In vitro	Ctenopharyngodon idella kidney (CIK) cells	Ctenopharyngodon idella			GCRV	mg/l	240.0	240.0	-	-	Antiviral
RID10091			Citrus unshiu Marc essential oil	Mixture	35836415	In vitro	CICC25017				Aeromonas hydrophila	µL	6.0	6.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Vagococcus spp.	µL/mL	12.5	12.5	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Enterococcus faecium	µL/mL	6.25	6.25	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Enterococcus aquimarinus	µL/mL	6.25	6.25	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Aeromonas spp.	µL/mL	12.5	12.5	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas fluorescens	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas frederiksbergensis	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas gessardii	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas ludensis	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas proteolitica	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Shewanella baltica	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Vagococcus spp.	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Yersinia enterocolitica	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Yersinia ruckeri	µL	15.0	15.0	-	-	Antibacterial
RID10088			Citrus limon essential oil	Mixture	34206270	In vitro	Bacteria				Yersinia spp.	µL	15.0	15.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Aerococcus spp.	µL/mL	12.5	12.5	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Aerococcus viridans	µL/mL	50.0	50.0	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Aeromonas bestiarum	µL/mL	6.25	6.25	-	-	Antibacterial
RID10089			Citrus limon fruit/peel extract	Mixture	34206270	In vitro	Bacteria				Aeromonas salmonicida	µL/mL	12.5	12.5	-	-	Antibacterial
RID10085			Citrus aurantium essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas frederiksbergensis	µL	15.0	15.0	-	-	Antibacterial
RID10178			Melaleuca leucadendron leaf extract	Mixture	34206270	In vitro	Bacteria				Yersinia enterocolitica	µL/mL	6.25	6.25	-	-	Antibacterial
RID10186			Mentha pulegium essential oil	Mixture	31905915	In vitro	V1				Vibrio alginolyticus	μg/mL	375.0	375.0	-	-	Antibacterial
RID10178			Melaleuca leucadendron leaf extract	Mixture	34206270	In vitro	Bacteria				Yersinia spp.	µL/mL	12.5	12.5	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Aerococcus viridans	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Aeromonas bestiarum	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Aeromonas salmonicida	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Aeromonas spp.	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Enterococcus aquimarinus	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Enterococcus faecium	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Aerococcus spp.	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Enterococcus moravensis	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas fluorescens	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas frederiksbergensis	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas gessardii	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas ludensis	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Pseudomonas proteolitica	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Shewanella baltica	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Escherichia vulgaris	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Vagococcus spp.	µL	15.0	15.0	-	-	Antibacterial
RID10295			Uncaria rhynchophylla stem with hook extract	Mixture	31494148	In vitro	Epithelioma papulosum cyprini (EPC) cells	Pimephales promelas			Infectious hematopoietic necrosis virus (IHNV)	mg/L	100.0	100.0	-	-	Antiviral
RID10294			Ulva fasciata whole plant extract	Compound	34097104	In vitro	ATCC 25919				Vibrio harveyi	μg	30.0	30.0	-	-	Antibacterial
RID10285			Thymus vulgaris leaf extract	Mixture	32966864	In vitro	Bacteria siolated from Colossoma macropomum				Aeromonas hydrophila	mg/mL	3.75-7.5	3.75-7.5	-	-	Antibacterial
RID10286			Total saponin from Bupleurum chinense root	Mixture	25266906	In vitro	Gills	Carassius auratus			Dactylogyrus species	mg/L	2.01	2.01	-	-	Anthelmintic
RID10288			Trichosanthes kirilowii fruit extract	Mixture	28232195	In vitro	Ctenopharyngodon idella kidney (CIK) cells	Ctenopharyngodon idella			GCRV	mg/l	90.0	90.0	-	-	Antiviral
RID00066	CID:185617	CAS:27740-01-8	Scutellarin	Compound	36420515	In vitro	Rabbit fish macrophage (RFM) cell line	Chimaera monstrosa				μM	4.5-9.0	6.75-9.0	-	-	Antioxidant
RID10289			Trigonella foenum graecum seed extract	Mixture	29337247	In vivo		Sparus aurata		Feed		%	10.0	10.0	-	-	Biochemistry modulator
RID10289			Trigonella foenum graecum seed extract	Mixture	29337247	In vivo		Sparus aurata		Feed		%	1.0-10.0	1.0-10.0	-	-	Immunostimulant
RID10294			Ulva fasciata whole plant extract	Compound	34097104	In vivo		Penaeus monodon	Larva		Vibrio harveyi	μg/mL	200.0	200.0	-	-	Antibacterial
RID10290			Trimethoprim-sulfamethoxazole	Mixture	26851782	In vitro	ATCC25922				Escherichia coli	μg/mL	0.5+9.5	0.5+9.5	-	-	Antibacterial
RID10290			Trimethoprim-sulfamethoxazole	Mixture	26851782	In vitro	Bacteria				Vibrio mimicus	μg/mL	0.125+2.37	0.125+2.37	-	-	Antibacterial
RID10290			Trimethoprim-sulfamethoxazole	Mixture	26851782	In vitro	Bacteria				Vibrio vulnificus	μg/mL	0.031+0.59	0.031+0.59	-	-	Antibacterial
RID10291			Triticum aestivum grass juice	Mixture	39965289	In vivo		Acipenser ruthenus		Diet		%	4.0	4.0	-	-	Fertility enhancer
RID10291			Triticum aestivum grass juice	Mixture	39965289	In vivo		Acipenser ruthenus	Larva	Diet		%	4.0	4.0	-	-	Antioxidant
RID10291			Triticum aestivum grass juice	Mixture	39965289	In vivo		Acipenser ruthenus	Larva	Diet		%	4.0	4.0	-	-	Growth promoter
RID10293			Typha angustifolia whole plant extract	Mixture	34227114	In vivo		Procambarus clarkii		Injected	White spot syndrome virus (WSSV)	mg/kg	100.0	100.0	-	-	Antiviral
RID10290			Trimethoprim-sulfamethoxazole	Mixture	26851782	In vitro	Bacteria				Vibrio cholerae	μg/mL	0.0156+0.297	0.0156+0.297	-	-	Antibacterial
RID10284			Thymus vulgaris essential oil	Mixture	32119179	In vitro	CAE452				Aeromonas salmonicida	μg/mL	440.0-3360.0	440.0-3360.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Yersinia enterocolitica	µL	15.0	15.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Yersinia spp.	µL	15.0	15.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Yersinia spp.	µL/mL	25.0	25.0	-	-	Antibacterial
RID10298			Vigna mungo pod acetone extract	Mixture	37237796	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	500.0	500.0	-	-	Antibacterial
RID00067	CID:19211	CAS:3602-55-9	2-tert-butyl-1,4-benzoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	Gyrodactylus kobayashii	mg/L	0.058	0.058	-	-	Anthelmintic
RID10299			Vigna mungo pod ethanol extract	Mixture	37237796	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	250.0	250.0	-	-	Antibacterial
RID10300			Vigna mungo pod ethyl acetate extract	Mixture	37237796	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	500.0	500.0	-	-	Antibacterial
RID10301			Vigna mungo pod hexane extract	Mixture	37237796	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	500.0	500.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Yersinia ruckeri	µL/mL	25.0	25.0	-	-	Antibacterial
RID10302			Vigna mungo pod methanol extract	Mixture	37237796	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	250.0	250.0	-	-	Antibacterial
RID10305			Virkon-S	Mixture	21413505	In vitro	Bacterial cultures				Edwardsiella ictaluri & Edwardsiella tarda	%	1.0	1.0	-	-	Antibacterial
RID10305			Virkon-S	Mixture	30536642	In vitro	CBS 223.65				Saprolegnia parasitica	ppm	1000.0	1000.0	-	-	Antimicrobial
RID10305			Virkon-S	Mixture	30536642	In vitro	ITT 290/15/15				Saprolegnia delica	ppm	1000.0	1000.0	-	-	Antimicrobial
RID10305			Virkon-S	Mixture	30536642	In vitro	ITT 320/15/20				Saprolegnia parasitica	ppm	1000.0	1000.0	-	-	Antimicrobial
RID20013			Yeast glycoprotein	Biomolecule	32207876	In vitro	Bacteria				Aeromonas caviae	mg/mL	83.3-166.7	83.3-166.7	-	-	Antibacterial
RID20013			Yeast glycoprotein	Biomolecule	32207876	In vivo		Carassius auratus		Diet	Aeromonas caviae	mg/kg	800.0	800.0	-	-	Antibacterial
RID10303			Vigna mungo pod petroleum ether extract	Mixture	37237796	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	500.0	500.0	-	-	Antibacterial
RID10296			Vetiveria zizanoides essential oil	Mixture	34206270	In vitro	Bacteria				Yersinia ruckeri	µL	15.0	15.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Yersinia enterocolitica	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Shewanella baltica	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Aerococcus spp.	µL/mL	6.25	6.25	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Aerococcus viridans	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Aeromonas bestiarum	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Aeromonas salmonicida	µL/mL	12.5	12.5	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Aeromonas spp.	µL/mL	12.5	12.5	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Enterococcus aquimarinus	µL/mL	6.25	6.25	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Vagococcus spp.	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Enterococcus faecium	µL/mL	6.25-12.5	6.25-12.5	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Escherichia vulgaris	µL/mL	12.5	12.5	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas fluorescens	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas frederiksbergensis	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas gessardii	µL/mL	12.5	12.5	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas lundensis	µL/mL	6.25	6.25	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas proteolitica	µL/mL	25.0	25.0	-	-	Antibacterial
RID10297			Vetiveria zizanoides root extract	Mixture	34206270	In vitro	Bacteria				Enterococcus moravensis	µL/mL	12.5	12.5	-	-	Antibacterial
RID10307			Zanthoxylum piperitum fruit ethyl acetate extract	Mixture	38518713	In vitro	AF364041.1				Tetrahymena piriformis	mg/L	50.0-5000.0	2500.0-5000.0	-	-	Antiparasitic
RID10284			Thymus vulgaris essential oil	Mixture	32119179	In vitro	CAE258				Aeromonas salmonicida	μg/mL	440.0-3568.0	440.0-3568.0	-	-	Antibacterial
RID10284			Thymus vulgaris essential oil	Mixture	32119179	In vitro	ATCC14174				Aeromonas salmonicida	μg/mL	880.0-3360.0	880.0-3360.0	-	-	Antibacterial
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	0.5-2.0	0.5-2.0	-	-	Biochemistry modulator
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	0.5-1.0	0.5-1.0	-	-	Growth promoter
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	0.5-2.0	0.5-2.0	-	-	Immunostimulant
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	2.0	2.0	-	-	Pro-inflammatory
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	0.5-1.0	0.5-1.0	-	-	Weight gain
RID20011			Silver Nanoparticles	Nanomaterial	33429926	In vitro	Bacteria				Aeromonas hydrophila	μg/mL	2.0-20.0	2.0-20.0	-	-	Antibacterial
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	0.5-2.0	0.5-2.0	-	-	Antioxidant
RID20011			Silver Nanoparticles	Nanomaterial	33429926	In vitro	Bacteria				Pseudomonas fluorescens	μg/mL	2.0-20.0	2.0-20.0	-	-	Antibacterial
RID00064	CID:176	CAS:64-19-7	Acetic acid	Compound	30536642	In vitro	ITT 290/15/15				Saprolegnia delica	ppm	250.0	250.0	-	-	Antimicrobial
RID00064	CID:176	CAS:64-19-7	Acetic acid	Compound	30536642	In vitro	ITT 320/15/20				Saprolegnia parasitica	ppm	250.0	250.0	-	-	Antimicrobial
RID10270			Silver Nanoparticles+Heliomycin	Mixture	33429926	In vitro	Bacteria				Pseudomonas fluorescens	μg/mL	2+512	2+512	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	Bacteria				Aeromonas hydrophila	%	10.0	10.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	Bacteria				Pseudomonas aeruginosa	%	10.0	10.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	Bacteria				Vibrio species	%	10.0	10.0	-	-	Antibacterial
RID00064	CID:176	CAS:64-19-7	Acetic acid	Compound	30536642	In vitro	CBS 223.65				Saprolegnia parasitica	ppm	250.0	250.0	-	-	Antimicrobial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	MDR 10				Aeromonas hydrophila	μg/mL	8.0-16.0	8.0-16.0	-	-	Antibacterial
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo		Oreochromis niloticus	Fingerling	Feed		g/kg	2.0	2.0	-	-	Anti-inflammatory
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo					Aeromonas hydrophila	g/kg	0.5-2.0	0.5-2.0	-	-	Enhance survival
RID10267			Satureja thymbra essential oil	Mixture	31905915	In vitro	PdKef				Photobacterium damselae subsp. piscicida	μg/mL	26.0	26.0	-	-	Antibacterial
RID10267			Satureja thymbra essential oil	Mixture	31905915	In vitro	V1				Vibrio alginolyticus	μg/mL	94.0	94.0	-	-	Antibacterial
RID10267			Satureja thymbra essential oil	Mixture	31905915	In vitro	Vak				Vibrio anguillarum	μg/mL	31.0	31.0	-	-	Antibacterial
RID10267			Satureja thymbra essential oil	Mixture	31905915	In vitro	VhP1				Vibrio harveyi	μg/mL	63.0	63.0	-	-	Antibacterial
RID10268			Schinus terebinthifolius fruit essential oil	Mixture	39163500	In vitro	ATCC 14126				Vibrio harveyi	%	2.0	2.0	-	-	Antibacterial
RID10268			Schinus terebinthifolius fruit essential oil	Mixture	39163500	In vitro	ATCC 15947				Edwardsiella tarda	%	2.0	2.0	-	-	Antibacterial
RID20010			Selenite-loaded chitosan nanoparticles	Nanomaterial	33453383	In vivo					Aeromonas hydrophila	g/kg	0.5-2.0	0.5-2.0	-	-	Immunostimulant
RID10268			Schinus terebinthifolius fruit essential oil	Mixture	39163500	In vitro	ATCC 17749				Vibrio alginolyticus	%	2.0	2.0	-	-	Antibacterial
RID10268			Schinus terebinthifolius fruit essential oil	Mixture	39163500	In vitro	ATCC 7966				Aeromonas hydrophila	%	2.0	2.0	-	-	Antibacterial
RID10269			Scutellaria baicalensis root extract	Compound	31614964	In vitro	WS05				Aeromonas hydrophila	mg/mL	20.84	20.84	-	-	Antibacterial
RID10269			Scutellaria baicalensis root extract	Mixture	32738512	In vitro	Rabbit fish fin (RFF) cell line	Chimaera monstrosa				mg/L	0.1-0.4	0.1-0.4	-	-	Anti-hypoxia
RID10269			Scutellaria baicalensis root extract	Mixture	32738512	In vitro	Rabbit fish fin (RFF) cell line	Chimaera monstrosa				mg/L	0.1-0.4	0.1-0.4	-	-	Anti-inflammatory
RID10269			Scutellaria baicalensis root extract	Mixture	32738512	In vitro	Rabbit fish fin (RFF) cell line	Chimaera monstrosa				mg/L	0.1	0.1	-	-	Anti-inflammatory
RID10269			Scutellaria baicalensis root extract	Mixture	36420515	In vitro	Rabbit fish macrophage (RFM) cell line	Chimaera monstrosa				mg/mL	0.2-0.4	0.2-0.4	-	-	Antioxidant
RID10268			Schinus terebinthifolius fruit essential oil	Mixture	39163500	In vitro	ATCC 17802				Vibrio parahaemolyticus	%	2.0	2.0	-	-	Antibacterial
RID10284			Thymus vulgaris essential oil	Mixture	32119179	In vitro	CAE235				Aeromonas salmonicida	μg/mL	880.0-3568.0	880.0-3568.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	MDR 40				Aeromonas hydrophila	μg/mL	8.0-16.0	8.0-16.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	MDR 45				Aeromonas hydrophila	μg/mL	2.0-4.0	2.0-4.0	-	-	Antibacterial
RID10281			Syzygium aromaticum flower bud extract	Mixture	35205146	In vivo		Goniopora columna		10 minutes treatment	Philaster lucinda	ppm	1500.0-10000.0	1500.0-10000.0	-	-	Antiparasitic
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	EA011113				Edwardsiella anguillarum	μg/mL	49.0	49.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	NS13				Aeromonas veronii bv. sobria	μg/mL	63.0	63.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	NS2				Aeromonas veronii bv. sobria	μg/mL	69.0	69.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	NS22				Aeromonas veronii bv. sobria	μg/mL	58.0	58.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	PDB				Aeromonas veronii bv. sobria	μg/mL	62.0	62.0	-	-	Antibacterial
RID10281			Syzygium aromaticum flower bud extract	Mixture	35205146	In vitro	Ciliate				Philaster lucinda	ppm	500.0-1520.0	1520.0	-	-	Antiparasitic
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	PdKef				Photobacterium damselae subsp. piscicida	μg/mL	26.0	26.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	Vak				Vibrio anguillarum	μg/mL	31.0	31.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	VhP1				Vibrio harveyi	μg/mL	68.0	68.0	-	-	Antibacterial
RID10283			Thymus satureioides essential oil	Mixture	32119179	In vitro	ATCC14174				Aeromonas salmonicida	μg/mL	1840.0	1840.0	-	-	Antibacterial
RID10283			Thymus satureioides essential oil	Mixture	32119179	In vitro	CAE235				Aeromonas salmonicida	μg/mL	1840.0	1840.0	-	-	Antibacterial
RID10283			Thymus satureioides essential oil	Mixture	32119179	In vitro	CAE258				Aeromonas salmonicida	μg/mL	1840.0	1840.0	-	-	Antibacterial
RID10283			Thymus satureioides essential oil	Mixture	32119179	In vitro	CAE452				Aeromonas salmonicida	μg/mL	1840.0	1840.0	-	-	Antibacterial
RID10282			Thymbra capitata essential oil	Mixture	31905915	In vitro	V1				Vibrio alginolyticus	μg/mL	88.0	88.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	MDR 41				Aeromonas hydrophila	μg/mL	4.0-8.0	4.0-8.0	-	-	Antibacterial
RID10280			Spatholobus suberectus stem extract	Mixture	31494148	In vitro	Epithelioma papulosum cyprini (EPC) cells	Pimephales promelas			Infectious hematopoietic necrosis virus (IHNV)	mg/L	100.0	100.0	-	-	Antiviral
RID10277			Sophora flavescens root ethyl acetate extract	Mixture	38518713	In vitro	AF364041.1				Tetrahymena piriformis	mg/L	50.0-5000.0	2500.0-5000.0	-	-	Antiparasitic
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	MDR 8				Aeromonas hydrophila	μg/mL	2.0-4.0	2.0-4.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	PDR 26				Pseudomonas aeruginosa	μg/mL	4.0-8.0	4.0-8.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 16				Pseudomonas aeruginosa	μg/mL	4.0-8.0	4.0-8.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 2				Pseudomonas aeruginosa	μg/mL	2.0-4.0	2.0-4.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 47				Vibrio species	μg/mL	0.5-2.0	0.5-2.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 49				Vibrio species	μg/mL	1.0-4.0	1.0-4.0	-	-	Antibacterial
RID10278			Sophora flavescens root extract	Compound	31614964	In vitro	WS05				Aeromonas hydrophila	mg/mL	125.0	125.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 52				Vibrio species	μg/mL	0.5-1.0	0.5-1.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 54				Vibrio species	μg/mL	1.0-4.0	1.0-4.0	-	-	Antibacterial
RID10271			Silver nanoparticles+Hydrogen peroxide	Mixture	38575637	In vitro	XDR 63				Pseudomonas aeruginosa	μg/mL	1.0-2.0	1.0-2.0	-	-	Antibacterial
