node	node_type	network_type
Carassius carassius	predator	Chronic
Gadus morhua callarias	predator	Chronic
Channa striata	predator	Chronic
Trichopodus pectoralis	predator	Chronic
Rhamdia quelen	predator	Chronic
Cirrhinus cirrhosus	predator	Chronic
Larimichthys crocea	predator	Chronic
Penaeus monodon	predator	Chronic
Piaractus mesopotamicus	predator	Chronic
Chimaera monstrosa	predator	Chronic
Pandalus montagui	predator	Chronic
Seriola dumerili	predator	Chronic
Sparus aurata	predator	Chronic
Oncorhynchus aguabonita	predator	Chronic
Seriola zonata	predator	Chronic
Epinephelus flavocaeruleus	predator	Chronic
Danio rerio	predator	Chronic
Palaemon elegans	predator	Chronic
Seriola lalandi	predator	Chronic
Epinephelus malabaricus	predator	Chronic
Acipenser ruthenus	predator	Chronic
Perna canaliculus	predator	Chronic
Penaeus vannamei	predator	Chronic
Anguilla japonica	predator	Chronic
Ictalurus punctatus	predator	Chronic
Pandalus borealis	predator	Chronic
Epinephelus coioides	predator	Chronic
Pagrus auratus	predator	Chronic
Pangasianodon hypophthalmus	predator	Chronic
Magallana gigas	predator	Chronic
Salmo macrostigma	predator	Chronic
Monopterus albus	predator	Chronic
Dicentrarchus	predator	Chronic
Epinephelus tauvina	predator	Chronic
Astacus leptodactylus	predator	Chronic
Colossoma macropomum	predator	Chronic
Lateolabrax japonicus	predator	Chronic
RID00111	chemical	Chronic
RID00092	chemical	Chronic
RID00113	chemical	Chronic
RID00230	chemical	Chronic
RID00139	chemical	Chronic
RID00315	chemical	Chronic
RID00080	chemical	Chronic
RID00127	chemical	Chronic
RID00116	chemical	Chronic
RID00098	chemical	Chronic
RID00181	chemical	Chronic
RID00186	chemical	Chronic
RID00252	chemical	Chronic
RID00302	chemical	Chronic
RID00105	chemical	Chronic
RID00137	chemical	Chronic
RID00185	chemical	Chronic
RID00053	chemical	Chronic
RID00244	chemical	Chronic
RID00141	chemical	Chronic
Oncorhynchus gorbuscha	both	Chronic
Artemia salina	both	Chronic
Artemia franciscana	both	Chronic
Macrobrachium rosenbergii	both	Chronic
Procambarus clarkii	both	Chronic
Paracentrotus lividus	both	Chronic
Pimephales promelas	both	Chronic
Poecilia reticulata	both	Chronic
Paralichthys olivaceus	both	Chronic
Lates calcarifer	both	Chronic
Labeo rohita	both	Chronic
Dicentrarchus labrax	both	Chronic
Oreochromis niloticus	both	Chronic
Ctenopharyngodon idella	both	Chronic
Carassius auratus	both	Chronic
Oncorhynchus tshawytscha	both	Chronic
Salmo salar	both	Chronic
Clarias gariepinus	both	Chronic
Lithobates catesbeianus	both	Chronic
Daphnia magna	both	Chronic
Trachinotus ovatus	both	Chronic
Oncorhynchus mykiss	both	Chronic
Gadus morhua	both	Chronic
Anguilla anguilla	both	Chronic
Salmo trutta	both	Chronic
Cyprinus carpio	both	Chronic
Micropterus salmoides	both	Chronic
Homarus americanus	both	Chronic
Lepomis macrochirus	both	Chronic
Gambusia holbrooki	both	Chronic
