id	pubchemid	casrn	chemical_name	listname	link	category	class
RID00302	712	50-00-0	Formaldehyde	NPI Australia	http://www.npi.gov.au/substances/substance-list-and-thresholds	External environmental exposome	Substances of concern
RID00302	712	50-00-0	Formaldehyde	Singapore list of controlled hazardous substances	https://www.nea.gov.sg/docs/default-source/default-document-library/hs--table-1.pdf	External environmental exposome	Substances of concern
RID00302	712	50-00-0	Formaldehyde	US OSHA list	https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.119AppA	Occupational exposome	Substances of concern
RID00302	712	50-00-0	Formaldehyde	PACSs list Japan	https://www.nite.go.jp/chem/jcheck/list7.action?category=230&request_locale=en	Miscellaneous external exposomes	Substances of concern
RID00302	712	50-00-0	Formaldehyde	Restricted substances under REACH	https://echa.europa.eu/substances-restricted-under-reach	Miscellaneous external exposomes	Substances of concern
RID00302	712	50-00-0	Formaldehyde	Schedule 1 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-I.html	Miscellaneous external exposomes	Substances of concern
RID00302	712	50-00-0	Formaldehyde	Schedule 3 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-3.html	Miscellaneous external exposomes	Substances of concern
RID00302	712	50-00-0	Formaldehyde	SIN List	https://sinsearch.chemsec.org	Miscellaneous external exposomes	Substances of concern
RID00302	712	50-00-0	Formaldehyde	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00302	712	50-00-0	Formaldehyde	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00304	71777	103055-07-8	Lufenuron	SIN List	https://sinsearch.chemsec.org	Miscellaneous external exposomes	Substances of concern
RID00310	7628	10043-35-3	Boric acid	Singapore list of controlled hazardous substances	https://www.nea.gov.sg/docs/default-source/default-document-library/hs--table-1.pdf	External environmental exposome	Substances of concern
RID00310	7628	10043-35-3	Boric acid	SIN List	https://sinsearch.chemsec.org	Miscellaneous external exposomes	Substances of concern
RID00310	7628	10043-35-3	Boric acid	SVHC under REACH	https://echa.europa.eu/candidate-list-table	Miscellaneous external exposomes	Substances of concern
RID00310	7628	10043-35-3	Boric acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00310	7628	10043-35-3	Boric acid	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00313	7794	106-23-0	Citronellal	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00313	7794	106-23-0	Citronellal	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00315	784	7722-84-1	Hydrogen Peroxide	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00315	784	7722-84-1	Hydrogen Peroxide	US OSHA list	https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.119AppA	Occupational exposome	Substances of concern
RID00315	784	7722-84-1	Hydrogen Peroxide	PACSs list Japan	https://www.nite.go.jp/chem/jcheck/list7.action?category=230&request_locale=en	Miscellaneous external exposomes	Substances of concern
RID00315	784	7722-84-1	Hydrogen Peroxide	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00315	784	7722-84-1	Hydrogen Peroxide	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00317	807	7553-56-2	Iodine	Schedule 1 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-I.html	Miscellaneous external exposomes	Substances of concern
RID00317	807	7553-56-2	Iodine	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00318	8215	112-85-6	Behenic Acid	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
