id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	unit	administered_dose_range	significant_dose_range	trend	measurement	effect
RID00119	CID:3314	CAS:97-53-0	Eugenol	Compound	38964434	In vitro	Grouper spleen (GS) cell line				μM	50.0-400.0	200.0-400.0	Decreased	Cell Viability	Cell(s)
RID00123	CID:3374	CAS:42835-25-6	Flumequine	Compound	22562751	In vivo		Arbacia lixula	Larva		mg/l	75.4	75.4	Irregular	Acute toxic effect concentration	Physiology
RID00123	CID:3374	CAS:42835-25-6	Flumequine	Compound	22562751	In vivo		Paracentrotus lividus	Larva		mg/l	31.01	31.01	Irregular	Acute toxic effect concentration	Physiology
RID00124	CID:34474	CAS:29096-93-3	2,5-dibromo-6-isopropyl-3-methyl-1,4-benzoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	0.3384	0.3384	Irregular	Lethal body concentration	Mortality
RID00126	CID:3485	CAS:111-30-8	Glutaraldehyde	Compound	32720097	In vivo		Penaeus vannamei	Juvenile		mg/L	44.4	44.4	Irregular	Lethal body concentration	Mortality
RID00128	CID:35802	CAS:31430-15-6	Flubendazole	Compound	39992024	In vivo		Carassius auratus			mg/L	1	1	Irregular	Lethal body concentration	Mortality
RID00130	CID:3641960	CAS:127-65-1	Chloramine-T	Compound	24819440	In vivo		Astacus leptodactylus			mg/L	2.0-50.0	10.0-50.0	Irregular	Heart rate	Physiology
RID00131	CID:3686	CAS:58186-27-9	Idebenone	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	2.523	2.523	Decreased	Lethal body concentration	Mortality
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Administered a single dose of diflubenzuron dissolved in propylene glycol−saline (50%:50%) into the caudal vein using a syringe	mg/kg	3.0-10.0	3.0-10.0	Decreased	Carnitine palmitoyltransferase 1a, liver mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Administered a single dose of diflubenzuron dissolved in propylene glycol−saline (50%:50%) into the caudal vein using a syringe	mg/kg	10	10	Decreased	Cytochrome P450, family 4, subfamily F, Polypeptide 2 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Administered a single dose of diflubenzuron dissolved in propylene glycol−saline (50%:50%) into the caudal vein using a syringe	mg/kg	3.0-50.0	3.0-50.0	Decreased	ELOVL fatty acid elongase 5 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Administered a single dose of diflubenzuron dissolved in propylene glycol−saline (50%:50%) into the caudal vein using a syringe	mg/kg	3.0-10.0	3.0-10.0	Decreased	Mitogen-activated protein kinase 1 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Administered a single dose of diflubenzuron dissolved in propylene glycol−saline (50%:50%) into the caudal vein using a syringe	mg/kg	3.0-10.0	3.0-10.0	Decreased	Prostaglandin G/H synthase 2 mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Administered a single dose of diflubenzuron dissolved in propylene glycol−saline (50%:50%) into the caudal vein using a syringe	mg/kg	10.0-50.0	10	Increased	Cytochrome P450, CYP3A mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	Catalase mRNA	Genetics
RID00132	CID:37123	CAS:35367-38-5	Diflubenzuron	Compound	23836768	In vivo		Gadus morhua	Juvenile	Orally medicated with feed pellets containing diflubenzuron for 14 days	mg/kg/day	3	3	Decreased	Glutathione S-transferase mu mRNA	Genetics
