id	pubchemid	casrn	phenotypeid	phenotypename	interactionactions	organismid	organism	pubmedids
RID00105	CID:2730	CAS:2921-88-2	GO:0030878	thyroid gland development	Decreases phenotype	7955	Danio rerio	32738127
RID00105	CID:2730	CAS:2921-88-2	GO:0031987	locomotion involved in locomotory behavior	Decreases phenotype	7955	Danio rerio	30447611
RID00105	CID:2730	CAS:2921-88-2	GO:0032148	activation of protein kinase B activity	Increases phenotype	7962	Cyprinus carpio	31479757
RID00105	CID:2730	CAS:2921-88-2	GO:0019344	cysteine biosynthetic process	Decreases phenotype	8030	Salmo salar	31536758
RID00105	CID:2730	CAS:2921-88-2	GO:0032769	negative regulation of monooxygenase activity	Increases phenotype	8022	Oncorhynchus mykiss	30012402
RID00105	CID:2730	CAS:2921-88-2	GO:0034101	erythrocyte homeostasis	Decreases phenotype	8128	Oreochromis niloticus	29433082|32371257|32470510
RID00105	CID:2730	CAS:2921-88-2	GO:0034379	very-low-density lipoprotein particle assembly	Increases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0034380	high-density lipoprotein particle assembly	Decreases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0034440	lipid oxidation	Increases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0034440	lipid oxidation	Increases phenotype	7955	Danio rerio	28407539,30423371,29653490
RID00105	CID:2730	CAS:2921-88-2	GO:0007275	multicellular organism development	Affects phenotype	7955	Danio rerio	29653490
RID00105	CID:2730	CAS:2921-88-2	GO:0034101	erythrocyte homeostasis	Decreases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0017085	response to insecticide	Affects phenotype	7955	Danio rerio	31521933
RID00105	CID:2730	CAS:2921-88-2	GO:0032200	telomere organization	Affects phenotype	7955	Danio rerio	36769379
RID00105	CID:2730	CAS:2921-88-2	GO:0010940	positive regulation of necrotic cell death	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0016042	lipid catabolic process	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0008291	acetylcholine metabolic process	Decreases phenotype	7955	Danio rerio	30612050
RID00105	CID:2730	CAS:2921-88-2	GO:0008343	adult feeding behavior	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0008344	adult locomotory behavior	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0009416	response to light stimulus	Decreases phenotype	7955	Danio rerio	29605586
RID00105	CID:2730	CAS:2921-88-2	GO:0008283	cell population proliferation	Increases phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0008345	larval locomotory behavior	Decreases phenotype	7955	Danio rerio	30612050
RID00105	CID:2730	CAS:2921-88-2	GO:0009636	response to toxic substance	Increases phenotype	7955	Danio rerio	28407539
RID00105	CID:2730	CAS:2921-88-2	GO:0010508	positive regulation of autophagy	Increases phenotype	7962	Cyprinus carpio	31310849
RID00105	CID:2730	CAS:2921-88-2	GO:0010669	epithelial structure maintenance	Decreases phenotype	7962	Cyprinus carpio	28675853
RID00105	CID:2730	CAS:2921-88-2	GO:0010884	positive regulation of lipid storage	Increases phenotype	7955	Danio rerio	32738127
RID00105	CID:2730	CAS:2921-88-2	GO:0010888	negative regulation of lipid storage	Increases phenotype	7955	Danio rerio	31384916
RID00105	CID:2730	CAS:2921-88-2	GO:0010940	positive regulation of necrotic cell death	Increases phenotype	7962	Cyprinus carpio	28675853
RID00105	CID:2730	CAS:2921-88-2	GO:0009566	fertilization	Decreases phenotype	7955	Danio rerio	36769379,34571837
RID00109	CID:2764	CAS:85721-33-1	GO:0055064	chloride ion homeostasis	Affects phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0140042	lipid droplet formation	Increases phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0070265	necrotic cell death	Increases phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0055078	sodium ion homeostasis	Affects phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0055075	potassium ion homeostasis	Affects phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0016042	lipid catabolic process	Affects phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0004364	glutathione transferase activity	Affects phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0006997	nucleus organization	Increases phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0004784	superoxide dismutase activity	Increases phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0004364	glutathione transferase activity	Increases phenotype	683832	Cirrhinus mrigala	33382204
RID00109	CID:2764	CAS:85721-33-1	GO:0007033	vacuole organization	Increases phenotype	683832	Cirrhinus mrigala	33382204
RID00111	CID:2912	CAS:52315-07-8	GO:0070994	detection of oxidative stress	Increases phenotype	8022	Oncorhynchus mykiss	33412942
RID00111	CID:2912	CAS:52315-07-8	GO:1901687	glutathione derivative biosynthetic process	Increases phenotype	7955	Danio rerio	28407539
