id	pubchemid	casrn	predicted_melting_point	experimental_melting_point	predicted_water_solubility_wskow	experimental_water_solubility	qsar_class	organism	duration	endpoint	concentration
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Neutral Organics	Green Algae	96-hr	EC50	28.720951080322266
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Neutral Organics	Fish (SW)	96-hr	LC50	55.794429779052734
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Neutral Organics	Mysid	96-hr	LC50	22.36286735534668
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Benzodioxoles 	Fish	96-hr	LC50	85.32479095458984
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Benzodioxoles 	Daphnid	48-hr	LC50	0.3946746289730072
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Benzodioxoles 	Fish (SW)	96-hr	LC50	119.06055450439453
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Benzodioxoles 	Mysid (SW)	96-hr	LC50	23.8945255279541
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Aliphatic Amines	Fish	96-hr	LC50	1678.9158935546875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Aliphatic Amines	Daphnid	48-hr	LC50	159.53427124023438
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Aliphatic Amines	Green Algae	96-hr	EC50	206.13841247558594
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Neutral Organics	Fish	96-hr	LC50	21196.984375
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Neutral Organics	Daphnid	48-hr	LC50	10052.6123046875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Neutral Organics	Green Algae	96-hr	EC50	3556.878173828125
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Neutral Organics	Fish (SW)	96-hr	LC50	26375.701171875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Neutral Organics	Mysid	96-hr	LC50	73450.3671875
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Fish	96-hr	LC50	1367.0802001953125
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Daphnid	48-hr	LC50	245.41659545898438
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Green Algae	96-hr	EC50	1604.4232177734375
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Fish (SW)	96-hr	LC50	2416.039306640625
RID00231	CID:54675783	CAS:10118-90-8	326.296142578125		59.31603240966797	52000	Phenols	Mysid (SW)	96-hr	LC50	445.6808166503906
