id	pubchemid	casrn	geneforms	geneid	genesymbol	interactionactions	organismid	organism	pubmedids
RID00104	CID:2726	CAS:50-53-3	mRNA	84456	L3MBTL3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	84803	GPAT3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	84919	PPP1R15B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	85397	RGS8	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8544	PIR	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	85452	CFAP74	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8555	CDC14B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	84795	PYROXD2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8557	TCAP	Decreases expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8128	ST8SIA2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8029	CUBN	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	79363	CPLANE2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	793796	SCG2A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	793849	BCO2A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	793907	IGFBP1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	794083	PDK2A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	79411	GLB1L	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	81027	TUBB1	Affects expression	7955	Danio rerio	25064622
