id	pubchemid	casrn	aquaculture_predator_species	prey_species	bcf_value
RID00111	CID:2912	CAS:52315-07-8	Salmo trutta	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Salmo salar	Salmo salar	4.561352502579926
RID00111	CID:2912	CAS:52315-07-8	Salmo trutta	Salmo salar	4.561352502579926
RID00111	CID:2912	CAS:52315-07-8	Oncorhynchus tshawytscha	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Oncorhynchus mykiss	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Salmo salar	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Micropterus salmoides	Salmo salar	4.561352502579926
RID00111	CID:2912	CAS:52315-07-8	Micropterus salmoides	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Ictalurus punctatus	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Gadus morhua	Salmo salar	4.561352502579926
RID00111	CID:2912	CAS:52315-07-8	Anguilla anguilla	Salmo salar	4.561352502579926
RID00111	CID:2912	CAS:52315-07-8	Anguilla anguilla	Oncorhynchus mykiss	458.7917928853488
RID00111	CID:2912	CAS:52315-07-8	Oncorhynchus aguabonita	Oncorhynchus mykiss	458.7917928853488
RID00113	CID:3039	CAS:62-73-7	Salmo trutta	Mytilus edulis	1.1
RID00113	CID:3039	CAS:62-73-7	Salmo trutta	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Salmo salar	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Oncorhynchus mykiss	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Lepomis macrochirus	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Lates calcarifer	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Micropterus salmoides	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Homarus americanus	Mytilus edulis	1.1
RID00113	CID:3039	CAS:62-73-7	Gadus morhua	Mytilus edulis	1.1
RID00113	CID:3039	CAS:62-73-7	Cyprinus carpio	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Channa striata	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Anguilla anguilla	Mytilus edulis	1.1
RID00113	CID:3039	CAS:62-73-7	Anguilla anguilla	Cyprinus carpio	0.5
RID00113	CID:3039	CAS:62-73-7	Ictalurus punctatus	Cyprinus carpio	0.5
RID00116	CID:3120	CAS:330-54-1	Oreochromis niloticus	Gambusia affinis	289.99999999999994
RID00116	CID:3120	CAS:330-54-1	Oncorhynchus mykiss	Pimephales promelas	35.62575252334682
RID00116	CID:3120	CAS:330-54-1	Micropterus salmoides	Pimephales promelas	35.62575252334682
RID00116	CID:3120	CAS:330-54-1	Ictalurus punctatus	Pimephales promelas	35.62575252334682
RID00116	CID:3120	CAS:330-54-1	Danio rerio	Daphnia magna	259.99999999999994
RID00116	CID:3120	CAS:330-54-1	Carassius carassius	Daphnia magna	259.99999999999994
RID00116	CID:3120	CAS:330-54-1	Micropterus salmoides	Gambusia affinis	289.99999999999994
RID00127	CID:3496	CAS:1071-83-6	Micropterus salmoides	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Salmo trutta	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Salmo salar	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Oncorhynchus mykiss	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Micropterus salmoides	Oreochromis mossambicus	21.089059948402515
RID00127	CID:3496	CAS:1071-83-6	Lepomis macrochirus	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Cyprinus carpio	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Ictalurus punctatus	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Clarias gariepinus	Oreochromis mossambicus	21.089059948402515
RID00127	CID:3496	CAS:1071-83-6	Channa striata	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Anguilla anguilla	Cyprinus carpio	18.827264687224467
RID00127	CID:3496	CAS:1071-83-6	Lates calcarifer	Cyprinus carpio	18.827264687224467
RID00132	CID:37123	CAS:35367-38-5	Salmo trutta	Lepomis macrochirus	159.99999999999994
RID00132	CID:37123	CAS:35367-38-5	Salmo trutta	Ctenopharyngodon idella	110.9453026795793
RID00132	CID:37123	CAS:35367-38-5	Salmo salar	Ctenopharyngodon idella	110.9453026795793
RID00132	CID:37123	CAS:35367-38-5	Oreochromis niloticus	Gambusia affinis	1.2517470633177628
