"Unit"	"Converted value equivalent in PPM"	"Comment"	"Conversion to ppm"	"Covered in old units"
"AI ug/eu"			"no"	"Yes"
"mg/ha"		"mass/area"	"no"	"Yes"
"% v/v"			"no"	"Yes"
"IU/kg bdwt"			"no"	"Yes"
"nl/org"			"no"	"Yes"
"ml/3 gal soil"			"no"	"Yes"
"ul/720 ml"			"no"	"Yes"
"ml/quintal"			"no"	"Yes"
"ul/org"			"no"	"Yes"
"ml/100 m2"			"no"	"Yes"
"ul/L/h"			"no"	"Yes"
"g/10 acre"			"no"	"Yes"
"ul/100 g bdwt"			"no"	"Yes"
"L/m2"			"no"	"Yes"
"oz/org"			"no"	"Yes"
"mBq/ml"			"no"	"Yes"
"kg/d"			"no"	"Yes"
"kg/9.3 m2"			"no"	"Yes"
"ml/10 g bdwt"			"no"	"Yes"
"IU/d"			"no"	"Yes"
"mg/kg/L"			"no"	"Yes"
"AI kg/feddan"			"no"	"Yes"
"mosmols/l"			"no"	"Yes"
"meq/100 g"			"no"	"Yes"
"AI L/42.1 L/ha"			"no"	"Yes"
"L/100 kg sd"			"no"	"Yes"
"AI g/feddan"			"no"	"Yes"
"pmol/org"			"no"	"Yes"
"AI mL/eu"			"no"	"Yes"
"units"			"no"	"Yes"
"AI mg/m2"			"no"	"Yes"
"oz/acre"			"no"	"Yes"
"nmol/egg"			"no"	"Yes"
"IU"			"no"	"Yes"
"AI ml/L"			"no"	"Yes"
"ul/cm2"			"no"	"Yes"
"ul/0.5 m2"			"no"	"Yes"
"cm2/org"			"no"	"Yes"
"mBq"			"no"	"Yes"
"amol/cell"			"no"	"Yes"
"g/acre"			"no"	"Yes"
"pt/acre"			"no"	"Yes"
"dS/m"			"no"	"Yes"
"L/161 m soil"			"no"	"Yes"
"ai ml/100 m2"			"no"	"Yes"
"ul/egg"			"no"	"Yes"
"ml/m"			"no"	"Yes"
"oz/1000 ft"			"no"	"Yes"
"ul/ml diet"			"no"	"Yes"
"ml/kg soil"			"no"	"Yes"
"AI mg/60000 sd"			"no"	"Yes"
"ul/kg"			"no"	"Yes"
"ml/body wt"			"no"	"Yes"
"AI ml/100 g soil"			"no"	"Yes"
"AI g/305 m"			"no"	"Yes"
"g/cm2"			"no"	"Yes"
"AI L/ha/m"			"no"	"Yes"
"ul/mg"			"no"	"Yes"
"ml/g diet"			"no"	"Yes"
"MBq"			"no"	"Yes"
"L/0.25 m2"			"no"	"Yes"
"AI kg/eu"			"no"	"Yes"
"kg/9.9 m2"			"no"	"Yes"
"L/1041 L/ha"			"no"	"Yes"
"AI ug"			"no"	"Yes"
"AI ml/100 g sd"			"no"	"Yes"
"IU/g diet"			"no"	"Yes"
"ml/20 L"			"no"	"Yes"
"mmol/m2"			"no"	"Yes"
"ml/1000 org"			"no"	"Yes"
"g/5 m2"			"no"	"Yes"
"ul/1.2 kg soil"			"no"	"Yes"
"ml/1150 ml"			"no"	"Yes"
"ug/disk"			"no"	"Yes"
"AI g/100000 sd"			"no"	"Yes"
"meq/g"			"no"	"Yes"
"g/m"			"no"	"Yes"
"lb/100 ft2"			"no"	"Yes"
"g h/m3"			"no"	"Yes"
"ul/eu"			"no"	"Yes"
"fl oz"			"no"	"Yes"
"uCi/ul"			"no"	"Yes"
"kg/m2"			"no"	"Yes"
"AI ul/kg dry soil"			"no"	"Yes"
"ml/8.5 L"			"no"	"Yes"
"ae kg/ha"			"no"	"Yes"
"lb/rod2"			"no"	"Yes"
"ml/3.78 L"			"no"	"Yes"
"AI mg/eu"			"no"	"Yes"
"AI fl oz/acre"			"no"	"Yes"
"AI g/100 m"			"no"	"Yes"
"granules"			"no"	"Yes"
"ai oz/bu sd"			"no"	"Yes"
"ug/m2"			"no"	"Yes"
"AI"			"no"	"Yes"
"ae lb/acre"			"no"	"Yes"
"ml/25 L"			"no"	"Yes"
"ng/min"			"no"	"Yes"
"no/g soil"			"no"	"Yes"
"mg/%"			"no"	"Yes"
"ug/em"			"no"	"Yes"
"ml/d"			"no"	"Yes"
"umol/eu"			"no"	"Yes"
"pt/100 gal"			"no"	"Yes"
"cm3"			"no"	"Yes"
"cm3/feddan"			"no"	"Yes"
"g% w/v"			"no"	"Yes"
"ug/tank/wk"			"no"	"Yes"
"AI ng"			"no"	"Yes"
"cm3/org"			"no"	"Yes"
"ml/100 ml"			"no"	"Yes"
"AI ul/g diet"			"no"	"Yes"
"AI mL/hl"			"no"	"Yes"
"ml/gal/ft3 soil"			"no"	"Yes"
"cm3/kg bdwt"			"no"	"Yes"
"cm3/100 g sd"			"no"	"Yes"
"ul"			"no"	"Yes"
"g/100 m"			"no"	"Yes"
"ml/10 kg diet"			"no"	"Yes"
"mg diet/d"			"no"	"Yes"
"ul/g dry soil"			"no"	"Yes"
"L/1.5 cm3 soil"			"no"	"Yes"
"mg/5 cm dia"			"no"	"Yes"
"ml/kg/d"			"no"	"Yes"
"L/feddan"			"no"	"Yes"
"mOsm/kg"			"no"	"Yes"
"ml/600 ml"			"no"	"Yes"
"AI ml/100 L"			"no"	"Yes"
"Ci/mol"			"no"	"Yes"
"kJ/kg bdwt/d"			"no"	"Yes"
"AI ng/eu"			"no"	"Yes"
"g/wk"			"no"	"Yes"
"ml/250 g soil"			"no"	"Yes"
"ml/92.9 m2"			"no"	"Yes"
